Id,Name,Aliases,Race,Title(s),Birth,Death,Gender,Weapon,Culture,Realm,Spouse
227,Lugdush,,Uruk-hai,Lieutenant of Ugluk,,"February 29, 3019",M,"Scimitar, Shield",Uruk-hai of Isengard,,
228,Shelob,Her Ladyship,Ungoliant,The Shadow Spider,,,F,"Venom, fangs, claws, webs",Spawn of Ungoliant,Torech Ungol,
229,Khamul,"Shadow of the East, The Black Easterling, Khamul the Easterling",Men\Ringwraith,"Lord of the Nazgul, Lord of Rhun",,,M,"Sword, Morgul-blade, Fell beast","Nazgul (Ringwraiths), formerly Easterlings","Rhun, Dol Guldur",
230,Gwaihir,"The Windlord, Gwaihir the Windlord",Great Eagles,,Unknown,,M,"Claws, beak",Eagles of Valinor,,
231,Landroval,,Great Eagles,,,,M,"Claws, beak",Eagles of Valinor,,
232,Meneldor,,Great Eagles,,,,M,,Eagles of Valinor,,
233,Fellbeast,,,,,,,,,,
234,Thranduil,"King of the Woodland Realm, King of the Elves of the Wood",Elven,Elvenking,First Age,,M,Sword,Sindar (Elves of Doriath)(Elves of Mirkwood),"Woodland Realm, most of Northern Mirkwood",Unnamed wife
235,Glorfindel,,Elven,Lord of the House of the Golden Flower,,,M,"Sword, dirk","Noldor (Gondolindrim), Elves of Rivendell",,
236,Galdor of the Havens,,Elven,,,,M,,"Sindar, Elves of Lindon",,
237,Erestor,Chief Counsellor of Elrond,Elven,,,,M,,Elves of Rivendell,,
238,Gloin,,Dwarven,,TA 2783,FO 15,M,"Walking Axe, Throwing Axe, Hunting Knives, Lake-Town Sword & Axe","Durin's Folk, Dwarves of the Lonely Mountain",,Unnamed wife
239,Murgash,,Uruk-hai,Captain,TA 3019,TA 3019,M,Scimitar,Black Uruks of Mordor,Mordor,
240,Imrahil,Imrahil the Fair,Men,"Prince of Dol Amroth, Steward of Gondor",TA 2955,FO 34,M,"Sword, Lance","Dúnedain, Men of Gondor (House of Dol Amroth)","Dol Amroth, Gondor",
241,Guritz,,Orc,,TA 3019,TA 3019,M,Scythe,Morgul Orcs,,
